any/int	"{\"time\":T,\"level\":\"info\",\"k\":42}"
any/map	"{\"time\":T,\"level\":\"info\",\"k\":{\"a\":1}}"
any/nil	"{\"time\":T,\"level\":\"info\",\"k\":null}"
any/slice	"{\"time\":T,\"level\":\"info\",\"k\":[1,2,3]}"
any/string	"{\"time\":T,\"level\":\"info\",\"k\":\"plain\"}"
any/struct	"{\"time\":T,\"level\":\"info\",\"k\":{\"Name\":\"alice\",\"Age\":30,\"OK\":true}}"
bool/false	"{\"time\":T,\"level\":\"info\",\"k\":false}"
bool/true	"{\"time\":T,\"level\":\"info\",\"k\":true}"
bytes/ascii	"{\"time\":T,\"level\":\"info\",\"k\":\"hello\"}"
bytes/empty	"{\"time\":T,\"level\":\"info\",\"k\":\"\"}"
bytes/escape	"{\"time\":T,\"level\":\"info\",\"k\":\"hi\\nbye\\t\\\"x\\\"\"}"
bytes/nil	"{\"time\":T,\"level\":\"info\",\"k\":\"\"}"
float/1e-7	"{\"time\":T,\"level\":\"info\",\"k\":1e-7}"
float/1e21	"{\"time\":T,\"level\":\"info\",\"k\":1e+21}"
float/inf+	"{\"time\":T,\"level\":\"info\",\"k\":\"+Inf\"}"
float/inf-	"{\"time\":T,\"level\":\"info\",\"k\":\"-Inf\"}"
float/nan	"{\"time\":T,\"level\":\"info\",\"k\":\"NaN\"}"
float/neg	"{\"time\":T,\"level\":\"info\",\"k\":-2.5}"
float/one	"{\"time\":T,\"level\":\"info\",\"k\":1}"
float/pi	"{\"time\":T,\"level\":\"info\",\"k\":3.14159}"
float/small	"{\"time\":T,\"level\":\"info\",\"k\":0.0001}"
float/zero	"{\"time\":T,\"level\":\"info\",\"k\":0}"
int/100	"{\"time\":T,\"level\":\"info\",\"k\":100}"
int/99	"{\"time\":T,\"level\":\"info\",\"k\":99}"
int/maxint64	"{\"time\":T,\"level\":\"info\",\"k\":9223372036854775807}"
int/minint64	"{\"time\":T,\"level\":\"info\",\"k\":-9223372036854775808}"
int/neg	"{\"time\":T,\"level\":\"info\",\"k\":-1}"
int/negbig	"{\"time\":T,\"level\":\"info\",\"k\":-1234567}"
int/nine	"{\"time\":T,\"level\":\"info\",\"k\":9}"
int/one	"{\"time\":T,\"level\":\"info\",\"k\":1}"
int/ten	"{\"time\":T,\"level\":\"info\",\"k\":10}"
int/zero	"{\"time\":T,\"level\":\"info\",\"k\":0}"
mixed/entry	"{\"time\":T,\"level\":\"info\",\"svc\":\"api\",\"code\":200,\"dur\":12.5,\"message\":\"request done\"}"
msg/empty	"{\"time\":T,\"level\":\"info\",\"k\":\"v\"}"
msg/newline	"{\"time\":T,\"level\":\"info\",\"message\":\"line1\\nline2\"}"
msg/plain	"{\"time\":T,\"level\":\"info\",\"foo\":\"bar\",\"message\":\"hello world\"}"
msg/quote	"{\"time\":T,\"level\":\"info\",\"message\":\"say \\\"hi\\\"\"}"
msgf/int	"{\"time\":T,\"level\":\"info\",\"message\":\"n=42\"}"
msgf/mixed	"{\"time\":T,\"level\":\"info\",\"message\":\"x=7 ok=true\"}"
msgf/str	"{\"time\":T,\"level\":\"info\",\"foo\":\"bar\",\"message\":\"hello world\"}"
str/allescapes	"{\"time\":T,\"level\":\"info\",\"k\":\"\\\"\\\\\\n\\r\\t\\u000c\\u0008\\u003c\\u0027\\u0000\"}"
str/apos	"{\"time\":T,\"level\":\"info\",\"k\":\"a\\u0027b\"}"
str/ascii	"{\"time\":T,\"level\":\"info\",\"k\":\"short_no_escape\"}"
str/backslash	"{\"time\":T,\"level\":\"info\",\"k\":\"a\\\\b\"}"
str/backspace	"{\"time\":T,\"level\":\"info\",\"k\":\"a\\u0008b\"}"
str/cr	"{\"time\":T,\"level\":\"info\",\"k\":\"a\\rb\"}"
str/emoji	"{\"time\":T,\"level\":\"info\",\"k\":\"a😀b\"}"
str/empty	"{\"time\":T,\"level\":\"info\",\"k\":\"\"}"
str/formfeed	"{\"time\":T,\"level\":\"info\",\"k\":\"a\\u000cb\"}"
str/long	"{\"time\":T,\"level\":\"info\",\"k\":\"aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa\"}"
str/lt	"{\"time\":T,\"level\":\"info\",\"k\":\"a\\u003cb\"}"
str/newline	"{\"time\":T,\"level\":\"info\",\"k\":\"a\\nb\"}"
str/nul	"{\"time\":T,\"level\":\"info\",\"k\":\"a\x00b\"}"
str/quote	"{\"time\":T,\"level\":\"info\",\"k\":\"a\\\"b\"}"
str/tab	"{\"time\":T,\"level\":\"info\",\"k\":\"a\\tb\"}"
str/utf8	"{\"time\":T,\"level\":\"info\",\"k\":\"日本語\"}"
uint64/max	"{\"time\":T,\"level\":\"info\",\"k\":18446744073709551615}"
uint64/mid	"{\"time\":T,\"level\":\"info\",\"k\":12345678901234}"
uint64/zero	"{\"time\":T,\"level\":\"info\",\"k\":0}"
